month,channel,is_complete_month,cost,leads,first_order_orders,first_order_users_proxy,first_order_revenue,first_order_formal_revenue,first_order_net_revenue,first_order_refund_revenue,repeat_leads,repeat_leads_90d,cac,cac_rate,first_order_conversion_rate,channel_roi,repeat_lead_rate,repeat_lead_rate_90d
2025-07,东莞聚力-APP-垂直应用,False,45516.14000000,404,20,20,42518.00000000,40400.00000000,40100.00000000,300.00000000,3,0,2275.80700000,1.13506584,0.04950495,0.93413018,0.00742574,0.00000000
2025-07,中视文化-DY-短直视频,False,2770.32000000,102,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,乐推YK-APP-垂直应用,False,4322.14000000,101,3,3,7140.00000000,6540.00000000,6540.00000000,0.00000000,1,0,1440.71333333,0.66087768,0.02970297,1.65195945,0.00990099,0.00000000
2025-07,互动吧-G-公众号,False,2310.65000000,107,8,8,15973.30000000,15864.00000000,15864.00000000,0.00000000,0,0,288.83125000,0.14565368,0.07476636,6.91290330,0.00000000,0.00000000
2025-07,互选平台-G-公众号,False,0.00000000,14,1,1,1380.00000000,1380.00000000,1380.00000000,0.00000000,1,1,0.00000000,0.00000000,0.07142857,,0.07142857,0.07142857
2025-07,今日头条,False,4989388.71000000,36319,1788,1788,3387324.47000000,3260297.20000000,3230574.47000000,29722.73000000,7374,384,2790.48585570,1.54442770,0.04923043,0.67890571,0.20303422,0.01057298
2025-07,优酷,False,14075.77000000,13,0,0,0.00000000,0.00000000,0.00000000,0.00000000,4,4,,,0.00000000,0.00000000,0.30769231,0.30769231
2025-07,优量汇,False,5217553.51000000,27669,1661,1661,3824469.48000000,3586536.00000000,3571354.38000000,15181.62000000,770,28,3141.21222757,1.46094533,0.06003108,0.73300053,0.02782898,0.00101196
2025-07,保定恩木-SP-短直视频,False,0.00000000,7,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,健身气功-短视频-自投,False,377.31000000,8,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,0.00000000,0.00000000,0.00000000
2025-07,元一-SP-短直视频,False,0.00000000,405,1,1,2180.00000000,3680.00000000,2180.00000000,1500.00000000,3,0,0.00000000,0.00000000,0.00246914,,0.00740741,0.00000000
2025-07,公众号,False,1243669.04000000,7841,435,435,856516.15000000,854965.00000000,846466.30000000,8498.70000000,1006,11,2859.00928736,1.46924814,0.05547762,0.68870103,0.12829996,0.00140288
2025-07,凌凌3-H-小红书,False,0.00000000,1,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0,0,,,0.00000000,,0.00000000,0.00000000
2025-07,剧Y-G-公众号,False,2934.49000000,53,2,2,5417.90000000,5360.00000000,5360.00000000,0.00000000,0,0,1467.24500000,0.54747948,0.03773585,1.84628334,0.00000000,0.00000000
2025-07,北海-摄影粉-DY-直播,False,70088.86000000,2209,33,33,67962.70000000,67951.00000000,67951.00000000,0.00000000,3,0,2123.90484848,1.03146179,0.01493889,0.96966479,0.00135808,0.00000000
